id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,_custom_ended_at
46342578316,683911742,venedunkel,VeneDunkel,512980,Fall Guys,live,"Tournoi Fall Guys ✨ Vtubers, assemble ! ✨",0,2022-11-26T09:02:30Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_venedunkel-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '52d7e4cc-633d-46f5-818c-bb59102d9549']",False,2022-11-26T09:05:11Z
46342427340,824233605,gadrel_redfang,Gadrel_Redfang,18122,World of Warcraft,live,[World Of Warcraft]: Petite matinée chill tranquille pépouze,2,2022-11-26T06:43:46Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_gadrel_redfang-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', '81e9d348-82e5-4c4f-a140-d2b3779b912d']",False,2022-11-26T09:18:13Z
46342711148,184130253,walkingkeav,walkingkeav,30921,Rocket League,live,Rocket league live fr goo follow 🔥👌👏,1,2022-11-26T10:08:12Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_walkingkeav-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'b3e0b8fd-5bc9-42cd-8663-c94c1bb4daa0', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', '52d7e4cc-633d-46f5-818c-bb59102d9549']",False,2022-11-26T10:41:21Z
46342750028,822821839,gabin_officiel,gabin_officiel,509658,Just Chatting,live,live chill sur tiktok,1,2022-11-26T10:25:23Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_gabin_officiel-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '6f655045-9989-4ef7-8f85-1edcec42d648']",False,2022-11-26T10:50:25Z
46342747708,419808709,arysh0w,ArySh0w,490744,Stardew Valley,live,J'ai pécho Shane,1,2022-11-26T10:24:20Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_arysh0w-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '6f655045-9989-4ef7-8f85-1edcec42d648']",False,2022-11-26T11:02:27Z
46342789052,184130253,walkingkeav,walkingkeav,102007682,God of War Ragnarök,live,GOD Of WAR ragnarok live fr goo follow 🔥👌👏,1,2022-11-26T10:42:02Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_walkingkeav-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', 'b3e0b8fd-5bc9-42cd-8663-c94c1bb4daa0']",False,2022-11-26T11:06:15Z
46342640316,431646215,yuki_akashia,yuki_akashia,513181,Genshin Impact,live,farm   ♥,2,2022-11-26T09:36:11Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_yuki_akashia-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549']",True,2022-11-26T12:32:08Z
40115878648,483754137,zoorqueen,ZoorQueen,515025,Overwatch 2,live,//DROPS//Games avec les coupains//,3,2022-11-26T11:48:55Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_zoorqueen-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'c2542d6d-cd10-4532-919b-3d19f30a768b', 'ad18ee82-c0b2-46d4-b4f9-d45994443bd7', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549']",False,2022-11-26T13:13:42Z
46343170204,91517434,xenouu,Xenouu,417528,Albion Online,live,5200H+🔶Drops actifs🔶Mists en Mace !,10,2022-11-26T12:57:27Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_xenouu-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'c2542d6d-cd10-4532-919b-3d19f30a768b']",False,2022-11-26T13:49:39Z
46343328540,238251226,chiro_sazaki,chiro_sazaki,23020,Roblox,live,[PC][FR][Roblox] farm sur roblox SAO,2,2022-11-26T13:45:36Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_chiro_sazaki-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",False,2022-11-26T13:55:46Z
