id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,_custom_ended_at
40149386168,166320128,tayl0o,Tayl0o,18122,World of Warcraft,live,Petite session chill donjon héro avec la guilde!,1,2022-12-04T20:04:13Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_tayl0o-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549']",False,2022-12-04T23:03:46Z
46372701500,61729183,xenon59510,xenon59510,490377,Sea of Thieves,live,Retour pour du PvP avec les faucheurs ! ( !discord | !Config ),5,2022-12-04T20:35:18Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_xenon59510-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549']",False,2022-12-04T23:22:41Z
46372782220,29628896,bakanokira,BakaNoKira,21779,League of Legends,live,[FR/EN] SoloQ - ADC - Syndra Versus World ?,1,2022-12-04T20:57:33Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_bakanokira-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '6606e54c-f92d-40f6-8257-74977889ccdd', '52d7e4cc-633d-46f5-818c-bb59102d9549']",True,2022-12-04T23:45:36Z
40580172233,101019516,misslouvely,MissLouvely,18791,Ōkami,live,Pitou!!!!! - Okami #2,24,2022-12-04T20:13:43Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_misslouvely-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', '7acaeacc-42dc-41d4-b461-87468f1ad551', 'eaba0ad7-c4e1-4878-b37f-01308dbb65c8', '8ba227ca-073c-46a7-b3cc-193e52c5ab4d', '8282259b-a997-4c63-b908-24027f64ac9a', '6f655045-9989-4ef7-8f85-1edcec42d648']",True,2022-12-05T01:05:40Z
46373228524,835546262,kaguyarp,kaguyaRP,21934,Star Wars: The Old Republic,live,FR PC (darth malgus) je suis ton pere (vert),1,2022-12-04T23:41:51Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_kaguyarp-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '67259b26-ff83-444e-9d3c-faab390df16f', '52d7e4cc-633d-46f5-818c-bb59102d9549']",True,2022-12-05T01:25:34Z
46373157388,264360234,oreilyne,Oreilyne,491327,The Legend of Zelda: Twilight Princess HD,live,+18 | LA SOUHUITE !!! {EP4}  #Feat Evets & Flan,1,2022-12-04T23:01:57Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_oreilyne-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'adc4a830-07f5-457b-95e5-5ab6cc1f9af3', 'd47ba636-e313-4887-ad18-237ef81a5161', 'cc8d5abb-39c9-4942-a1ee-e1558512119e', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",True,2022-12-05T05:11:53Z
46372275292,260184198,esprit_ebene,Esprit_Ebene,509660,Art,live,[Vtuber FR] La nocturne solo pour le bal de promo ! Spicy drawing d'une succube et reactc:,32,2022-12-04T18:57:38Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_esprit_ebene-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'df448da8-7082-45b2-92ad-c624dba6551f', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e', 'f2d10665-9980-452a-b091-f0ca30777d4b']",True,2022-12-05T05:15:03Z
40581731785,84677311,droupika,Droupika,515025,Overwatch 2,live,(EN/FR)On essaie de se rendre Silver! COMFY STREAM,7,2022-12-05T00:58:05Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_droupika-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'f541e89d-6676-467e-9b15-5d204692ef40', 'd47ba636-e313-4887-ad18-237ef81a5161', '7acaeacc-42dc-41d4-b461-87468f1ad551']",False,2022-12-05T05:52:50Z
46373484572,835546262,kaguyarp,kaguyaRP,21934,Star Wars: The Old Republic,live,FR PC on continue l'épopée de daarth kaguyaRP,1,2022-12-05T05:14:49Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_kaguyarp-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '67259b26-ff83-444e-9d3c-faab390df16f', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",True,2022-12-05T06:34:47Z
46373625404,241812706,nanobys,Nanobys,509658,Just Chatting,live,REDEBUT Yamato Dragon (NEW MODEL) [FR],1,2022-12-05T08:42:41Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nanobys-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '6606e54c-f92d-40f6-8257-74977889ccdd', '52d7e4cc-633d-46f5-818c-bb59102d9549', '02ba4017-ed3b-4b82-ab20-011860784f77', 'dfaa4f24-e99f-430d-aa29-8fb2b2717ece', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']",False,2022-12-05T08:49:08Z
46373660556,241812706,nanobys,Nanobys,509658,Just Chatting,live,REDEBUT Yamato Dragon (NEW MODEL) [FR],2,2022-12-05T09:12:34Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nanobys-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '02ba4017-ed3b-4b82-ab20-011860784f77', 'dfaa4f24-e99f-430d-aa29-8fb2b2717ece', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '6606e54c-f92d-40f6-8257-74977889ccdd']",False,2022-12-05T11:11:39Z
46373825884,241812706,nanobys,Nanobys,509658,Just Chatting,live,REDEBUT Yamato Dragon (NEW MODEL) [FR],2,2022-12-05T11:11:44Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nanobys-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '02ba4017-ed3b-4b82-ab20-011860784f77', 'dfaa4f24-e99f-430d-aa29-8fb2b2717ece', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '6606e54c-f92d-40f6-8257-74977889ccdd']",False,2022-12-05T11:17:11Z
46373835468,241812706,nanobys,Nanobys,509658,Just Chatting,live,REDEBUT Yamato Dragon (NEW MODEL) [FR],1,2022-12-05T11:17:59Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nanobys-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '02ba4017-ed3b-4b82-ab20-011860784f77', 'dfaa4f24-e99f-430d-aa29-8fb2b2717ece', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '6606e54c-f92d-40f6-8257-74977889ccdd']",False,2022-12-05T12:46:48Z
