id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,tags,_custom_ended_at
46353102204,403074582,raybantv,raybantv,516575,VALORANT,live,[ENG/FR] yé sui noul mé on aisaye,2,2022-11-29T11:29:12Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_raybantv-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'cc8d5abb-39c9-4942-a1ee-e1558512119e']","[]",2022-11-29T13:00:29Z
46353234876,184130253,walkingkeav,walkingkeav,30921,Rocket League,live,Rocket leaguelive fr follow me 🔥👌👏,1,2022-11-29T12:41:54Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_walkingkeav-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', 'b3e0b8fd-5bc9-42cd-8663-c94c1bb4daa0']","[]",2022-11-29T13:54:09Z
40127383816,140719874,phylalix,Phylalix,477532253,Lunch Lady,live,[Découverte] A la recherche de pages dans une école,2,2022-11-29T11:43:23Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_phylalix-{width}x{height}.jpg,"['81e9d348-82e5-4c4f-a140-d2b3779b912d', '9e1c4d59-fb88-4b42-99ce-b2776358c547', 'e659959d-392f-44c5-83a5-fb959cdbaccc', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-29T14:28:26Z
46353359628,784812154,narr2313,narr2313,516915,Mortal Shell,live,Découvert de mortal shell,1,2022-11-29T13:39:42Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_narr2313-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '338d7a92-8bcc-429e-a30c-9f1c41a2d79a', '744f1c0b-458e-4a12-a759-bfa2edb7c81a', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-11-29T14:35:25Z
46353115324,481843379,kyeries,kyeries,516575,VALORANT,live,Duo de choc ma ptite spi,1,2022-11-29T11:37:25Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_kyeries-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']","[]",2022-11-29T14:45:45Z
46353501260,784812154,narr2313,narr2313,102007682,God of War Ragnarök,live,Objectif 100% GOW Ragnarock,0,2022-11-29T14:37:41Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_narr2313-{width}x{height}.jpg,"['52d7e4cc-633d-46f5-818c-bb59102d9549', '744f1c0b-458e-4a12-a759-bfa2edb7c81a', '338d7a92-8bcc-429e-a30c-9f1c41a2d79a', '6f655045-9989-4ef7-8f85-1edcec42d648']","[]",2022-11-29T14:52:42Z
46353451548,184130253,walkingkeav,walkingkeav,1937599489,The Quarry,live,The quarry découverte ensemble live fr follow me 🔥👌👏,1,2022-11-29T14:17:54Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_walkingkeav-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', 'b3e0b8fd-5bc9-42cd-8663-c94c1bb4daa0', 'e90b5f6e-4c6e-4003-885b-4d0d5adeb580', '26301bb2-91a3-4272-8a9b-5bcea6db0fcd', '52d7e4cc-633d-46f5-818c-bb59102d9549']","[]",2022-11-29T15:23:55Z
46353747100,103352726,octoloth,Octoloth,512980,Fall Guys,live,🌸[VTUBEUSE FR]🌸 PP GAMES VIEWERS,0,2022-11-29T16:00:42Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_octoloth-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', 'adc4a830-07f5-457b-95e5-5ab6cc1f9af3', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']","[]",2022-11-29T16:01:45Z
46353324092,782457659,nao_nara,Nao_Nara,670867987,Pokémon Scarlet/Violet,live,"Raids, Shiny & Yeet",11,2022-11-29T13:23:44Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_nao_nara-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '81e9d348-82e5-4c4f-a140-d2b3779b912d', 'be60ae5e-d52d-4dc4-b2a1-51c351a35f3d']","[]",2022-11-29T16:24:58Z
46353645148,590746260,whymnk,whymnk,33214,Fortnite,live,je progresse slowly but surely,1,2022-11-29T15:28:08Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_whymnk-{width}x{height}.jpg,"['6f655045-9989-4ef7-8f85-1edcec42d648', '52d7e4cc-633d-46f5-818c-bb59102d9549', '1eba3cfe-51cc-460a-8259-bc8bb987f904', 'ac763b17-7bea-4632-9eb4-d106689ff409', 'ff56eeeb-99ed-4a60-93fc-0b3f05d8661e']","[]",2022-11-29T16:52:53Z
